A-3;0,0,05,15,11,0,0,20,24,0,0,31,48,0,0,50,0,57,0,63,68,78,71,0,81,84,0
A-4;0,0,03,16,0,0,0,27,0,0,37,34,41,0,45,55,0,0,65,61,0,73,76,79,0,80,86
B-1;0,08,0,0,19,10,25,0,21,0,32,35,42,0,0,57,0,59,0,64,0,71,0,76,90,83,0
C-4;0,02,07,0,13,17,22,27,0,32,0,0,41,46,0,0,0,52,60,0,0,0,77,78,81,0,80
C-5;0,08,0,0,16,15,23,0,28,33,35,0,48,0,0,0,51,57,64,0,0,0,76,72,87,0,82
D-2;0,06,01,0,14,0,0,24,25,0,0,39,44,49,0,53,0,58,66,69,0,79,0,74,86,0,0
E-1;0,06,02,18,0,0,0,24,27,30,34,36,43,0,0,55,0,0,0,63,66,0,0,75,85,82,0
E-5;0,01,0,0,12,19,20,0,28,33,0,37,0,0,46,56,51,0,0,67,0,72,0,78,87,90,0
E-6;0,09,04,11,17,0,29,0,23,32,0,0,0,41,45,0,38,0,60,0,68,0,73,0,81,0,84
G-1;0,06,0,0,10,17,0,20,0,31,0,38,47,0,40,0,0,56,66,63,0,70,77,0,83,0,82
